x,phi
4.658549519402409300e-02,1.878588156379717322e+00
2.893737275806014878e-02,2.523111844699817308e+00
-9.666046995328421432e-03,-2.995463248065533879e+00
-2.633415258567833872e-02,-2.273236876429791664e+00
-3.619489096728759070e-02,-1.691509074412230085e+00
-6.142714490305081765e-02,-1.240467119399000673e+00
-3.518024698358954150e-02,-8.926582664729103556e-01
-3.110225462408738178e-02,-6.528386962615622124e-01
-1.247218497503730164e-02,-4.817051412823545320e-01
-2.185638612768825428e-02,-3.873190412997535859e-01
-1.188221197013205471e-02,-3.458517316692519827e-01
-2.323644629524090552e-03,-3.498866585888018577e-01
-1.839997844218273573e-02,-4.178312988690811025e-01
-2.078246689730429975e-02,-5.358121313751729176e-01
-2.305988293432547839e-02,-7.308171556986513551e-01
-2.851475170872093054e-02,-1.009021084407662805e+00
-4.102246634619055587e-02,-1.403453326358212294e+00
-3.759613442761031155e-02,-1.888463491598595390e+00
-1.413212367497168782e-02,-2.522820173158422108e+00
1.313301534109176383e-02,2.999668901937772247e+00
2.478839422254580649e-02,2.273681635685077751e+00
4.313780027323638883e-02,1.690356393500403120e+00
3.110036943744576982e-02,1.249600720336299986e+00
4.275046070309135998e-02,9.124372401642039110e-01
3.131808528454508439e-02,6.663762090681560890e-01
3.275691360258958795e-02,5.086086144460587599e-01
3.314701101681892526e-02,4.136957171013727619e-01
9.272224708044299324e-03,3.902227520988271747e-01
2.184844138196564631e-02,4.205937687698238503e-01
1.284106874248914718e-02,5.115771681743304100e-01
3.671116442117369066e-02,6.732236853989056469e-01
4.042988429281803298e-02,9.088197781799308705e-01
2.132911854499208726e-02,1.260806400213820400e+00
2.156102662136867576e-02,1.713969432770215517e+00
3.760367010437473678e-02,2.292403967265079334e+00
2.162521682031050708e-03,3.009129442115931585e+00
-2.709991040184915947e-02,-2.512485077044054993e+00
-5.562475817757277230e-02,-1.895980130676726105e+00
-3.899971344465983508e-02,-1.410614979093637089e+00
-3.046574556980002207e-02,-1.020847312543755159e+00
-4.191701002817821431e-02,-7.529821819292257246e-01
-3.510635991883984119e-02,-5.812421910599336883e-01
-4.486230348860156120e-02,-4.716092653048216121e-01
-1.159587458881288641e-02,-4.455428934302112509e-01
-1.345666762922286680e-02,-4.660972055536145575e-01
-2.979531015725800369e-02,-5.738757133200964589e-01
-3.036596070277925580e-02,-7.300011975458096103e-01
-2.899868349175318410e-02,-1.000226297564335454e+00
-4.140244893929229120e-02,-1.353817849652560135e+00
-3.341744371901609473e-02,-1.827897308441442270e+00
-1.714701787390412319e-02,-2.436582852710091007e+00
1.171943156984884410e-02,3.112816456321415792e+00
3.518029442643277188e-02,2.377898816488633660e+00
4.844619190563285299e-02,1.790115883709134881e+00
5.758751408928083904e-02,1.322782859265862365e+00
4.481795068433615942e-02,9.888172784471704890e-01
2.439322335687868840e-02,7.441192548252568706e-01
8.231030198029433420e-03,5.753219893993386513e-01
3.080609371133820329e-02,4.988164863962508688e-01
2.849214382678271623e-02,4.941181534494433758e-01
2.703377117394429804e-02,5.479799443475169562e-01
3.621067607864622562e-02,6.889891910338850067e-01
4.307760692924817586e-02,8.925077680069417596e-01
3.881404038263434886e-02,1.211799600343893779e+00
5.061636316792151452e-02,1.642954449911170123e+00
3.869449849115883661e-02,2.196121484001821944e+00
1.255818838227722514e-02,2.891121591979321614e+00
-3.399192942227252656e-02,-2.650285534525951725e+00
-4.610071296344181446e-02,-1.995341752291301063e+00
-5.190136522862616453e-02,-1.497531030618068471e+00
-2.950905129958858106e-02,-1.113023448779953739e+00
-4.324663512253799219e-02,-8.291798564470749255e-01
-2.418565722182841604e-02,-6.536666628710703364e-01
-2.067354522153664817e-02,-5.433322180198247864e-01
-3.168533045898868500e-02,-5.198005015923135019e-01
-2.446948132200366111e-02,-5.732677408503352723e-01
-4.393745990998614015e-03,-7.035684710882206261e-01
-3.835229183823691407e-02,-9.034137074634918108e-01
-3.596078875271951220e-02,-1.222996761907920948e+00
-3.690182745996563318e-02,-1.645518398609802091e+00
-3.176390229438118967e-02,-2.171783054773247734e+00
1.226307812126473107e-02,-2.877040916545138494e+00
2.276317151371950315e-02,2.652749336442557837e+00
4.437993822514534059e-02,2.008574987794051747e+00
4.474260371755005988e-02,1.513304099740164110e+00
3.882444740615069445e-02,1.127535551096616739e+00
5.681634691623592415e-02,8.449154072705626906e-01
2.558037310997942140e-02,6.665262471379763687e-01
2.320086513296674285e-02,5.826271533979033856e-01
1.383222423409691780e-02,5.635860809666259907e-01
4.332529904142203014e-02,6.366830269137244702e-01
2.813258278219430558e-02,7.734002295203570299e-01
2.255093900311735955e-02,9.948973803038122510e-01
3.964695175284738832e-02,1.346212844460711544e+00
5.273321764659235494e-02,1.798732418480310624e+00
3.356355428496374249e-02,2.378904202832381909e+00
5.566178192916785596e-03,3.104975970014208109e+00
-1.991931809534884176e-02,-2.451881435589881697e+00
-3.337769061836381307e-02,-1.851682965869117403e+00
-2.608589552805334888e-02,-1.386947874494940613e+00
-3.764280748277105959e-02,-1.045177453153775637e+00
-1.859456351177812827e-02,-8.048413696637419790e-01
-2.120283758190919313e-02,-6.617999426476464109e-01
-1.183915152895809349e-02,-5.933497168200849714e-01
-3.218775235048124128e-02,-6.065388938700015942e-01
-3.400183595777526296e-02,-7.068604162974745364e-01
-5.305137000361612176e-02,-9.059149165292224026e-01
-3.789097096115118246e-02,-1.198173928770209784e+00
-5.065249258056931519e-02,-1.582373637701607549e+00
-3.368009715591937375e-02,-2.112692117871077357e+00
-1.644666969467222656e-02,-2.774601817168612428e+00
1.677820979781904920e-03,2.764294525115785550e+00
4.032746884752765049e-02,2.110315613135697266e+00
2.277813468366008884e-02,1.590300438363049906e+00
4.330453926666517905e-02,1.198935218921721058e+00
3.615094404939649814e-02,9.140817367443390129e-01
2.998565657944417956e-02,7.257084442235686161e-01
5.929614415973880753e-02,6.397068093822704249e-01
3.111560744693834743e-02,6.265684120931657164e-01
3.640699135555034577e-02,7.103620224090451130e-01
5.111444770539273763e-02,8.665864197719121975e-01
4.897573652700554225e-02,1.124798223472982306e+00
3.103316400249623089e-02,1.507215916391430488e+00
6.064682545686643500e-02,1.987358702967855217e+00
6.096352315728307408e-03,2.617843618302071906e+00
-2.426848461611428448e-03,-2.928113626612482534e+00
-4.807496619008688743e-02,-2.245300951926568978e+00
-4.150335902677385752e-02,-1.706498594679903391e+00
-4.120037027747024128e-02,-1.276493514351475511e+00
-3.228689649639683579e-02,-9.757334457571777975e-01
-5.070750718730063222e-02,-7.774318158734558892e-01
-3.961325072683145876e-03,-6.612430904443389323e-01
-2.266039894536539881e-02,-6.551643615851583391e-01
-2.394511346663222642e-02,-7.168278666822169853e-01
-2.679336934116227989e-02,-8.731821497565244172e-01
-3.408652891962205000e-02,-1.128311301958872193e+00
-2.053772162261013196e-02,-1.499609307028107352e+00
-3.798181835780849169e-02,-1.971154685595823075e+00
-2.334474842006077980e-02,-2.597836212805689993e+00
2.346740511389790868e-02,2.948821971002955067e+00
2.850335634844105778e-02,2.263835961882837200e+00
4.799070460873013089e-02,1.715338161345915102e+00
3.800069848024274777e-02,1.302749874243663397e+00
5.221197991908610447e-02,9.894453433990543223e-01
1.012040794794825602e-02,7.995586216141725711e-01
2.733727356541781894e-02,6.951453832830198909e-01
2.888422931392249302e-02,6.754565160038398242e-01
4.442595179080933987e-02,7.530833833891243945e-01
1.946199370036727147e-02,9.209017819706095676e-01
4.051151428839942087e-02,1.184921570441248795e+00
3.479474383550157368e-02,1.569701028198298376e+00
3.594002310122770827e-02,2.064139189093092686e+00
1.493909720994550383e-02,2.699451829724944574e+00
-5.102188433416484682e-03,-2.866972958004307515e+00
-3.293604690810313790e-02,-2.173864901301418406e+00
-4.240337691596961917e-02,-1.658517216180734444e+00
-3.466579984960292682e-02,-1.263467564418765399e+00
-2.242568809808388047e-02,-9.687208088753935797e-01
-2.374718104513224431e-02,-7.972316081701249502e-01
-1.906333384518896917e-02,-7.028486892102572270e-01
-3.067141730161798002e-02,-7.143316352571380534e-01
-2.761964279065787231e-02,-8.114025403253686264e-01
-3.816528417039422721e-02,-9.912042018114828323e-01
-4.133703285579756748e-02,-1.294669908770507583e+00
-4.625247254947487119e-02,-1.705079036330477749e+00
