x,v,phi,omega
2.684175400016155372e-02,1.304930568358147469e-01,6.753487255531394062e-01,4.019970638146155295e+00
3.392867828894321341e-02,1.459607474724818610e-01,9.201383315452984490e-01,5.815428161215097091e+00
4.037392942233419130e-02,9.682853503159538633e-02,1.261106562518332197e+00,7.866821383279384072e+00
4.167978351704558493e-02,-6.780010908580463846e-02,1.711989214401167914e+00,1.023689368663002597e+01
3.111028844296272189e-02,-3.753312979300244545e-01,2.293334909174490122e+00,1.308909284958325436e+01
4.224820594454798545e-03,-6.561590865001032391e-01,3.015144517823323156e+00,1.540994888923105677e+01
-2.602256123908439425e-02,-4.827360416268590138e-01,3.765309991698279291e+00,1.400800506083978725e+01
-4.139236563229192756e-02,-1.426158834579856483e-01,4.391705884051535058e+00,1.105911301746719921e+01
-4.263458376539305816e-02,6.778886151203550314e-02,4.879619145780069722e+00,8.537158365316367181e+00
-3.682889455189330974e-02,1.463921608623930948e-01,5.251392951058928560e+00,6.379710561657328860e+00
-2.934420022267169789e-02,1.435857366672422808e-01,5.521583423189694528e+00,4.468071708582535884e+00
-2.305737830861617071e-02,1.045899549183494093e-01,5.702340279135096779e+00,2.804153791536344809e+00
-1.903906881365127757e-02,5.562005015238925126e-02,5.805818534640519779e+00,1.367605120694696863e+00
-1.750068392745798146e-02,6.024760196967009207e-03,5.841405433789571333e+00,6.908340913249144677e-02
-1.842955004723397655e-02,-4.312900346110487559e-02,5.812867816025329759e+00,-1.220189309127277522e+00
-2.180113692751468185e-02,-9.120540865309470502e-02,5.717331833455711276e+00,-2.631055162824575966e+00
-2.741430221531616918e-02,-1.303843403214893781e-01,5.546076721667891896e+00,-4.260063184102113709e+00
-3.431729166720705326e-02,-1.372042139503813207e-01,5.287146180899525483e+00,-6.137777922179695977e+00
-3.989864135452931421e-02,-6.925834056047862342e-02,4.928274878723636121e+00,-8.261501502504927430e+00
-3.915128665593572976e-02,1.232943385608260972e-01,4.455379937672252488e+00,-1.072902552892253780e+01
-2.518825575906091449e-02,4.494661988757194249e-01,3.846949674122901452e+00,-1.364477759224066133e+01
4.127115662054342549e-03,6.599662534995833774e-01,3.108053943421705156e+00,-1.538842990881274808e+01
3.215395515026377160e-02,4.084617856319527895e-01,2.378705761055572410e+00,-1.333579333728952854e+01
4.414489235042767801e-02,8.913142742631496862e-02,1.785725095343348556e+00,-1.043818486888353014e+01
4.354388664635874817e-02,-8.911033227033676729e-02,1.326457543670515493e+00,-8.002607590796937842e+00
3.727180450431709369e-02,-1.456533135894752529e-01,9.803131548612512569e-01,-5.884355378256030278e+00
3.014774345918562470e-02,-1.314075739935648135e-01,7.342463277446509284e-01,-3.997014320927777309e+00
2.460741256297473145e-02,-8.762503439364278945e-02,5.767079190054507087e-01,-2.342421989522054382e+00
2.150206184355961045e-02,-3.619661922112856617e-02,4.967739607633484544e-01,-8.800097893410776528e-01
2.099390592976075123e-02,1.580083860526939471e-02,4.872639294221302042e-01,4.958192617288934567e-01
2.307043294550034651e-02,6.693484024524852527e-02,5.471562144755102164e-01,1.918433193780164636e+00
2.760761756244858520e-02,1.127159083687041541e-01,6.819008344760409956e-01,3.506064592692516690e+00
3.399312920954760536e-02,1.366032075808014112e-01,9.016064515157836690e-01,5.321279105719352032e+00
4.033006281949625543e-02,1.033706637061045375e-01,1.217867885639541070e+00,7.368292435765509296e+00
4.255894064762606732e-02,-3.601452425616230579e-02,1.642952424410364820e+00,9.694298793304980677e+00
3.429736575646767649e-02,-3.169954622810117750e-01,2.195002178578914442e+00,1.246652856393097508e+01
1.002853272979584848e-02,-6.267174663384890154e-01,2.889563927503303820e+00,1.506515059893430575e+01
-2.100634591422209999e-02,-5.356982688592959452e-01,3.640805980621568239e+00,1.433142711903349031e+01
