x,v,phi,omega
2.775938896543204623e-02,-3.044246159077073580e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.760771898085268711e-02,-3.022579018422879172e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.745712849336954392e-02,-3.001066091639573250e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.730760981976181750e-02,-2.979706281124183762e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.715915533149331970e-02,-2.958498497085826871e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.701175745432326039e-02,-2.937441657490103865e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.686540866791981008e-02,-2.916534688003896616e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.672010150547640683e-02,-2.895776521940553357e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.657582855333079017e-02,-2.875166100205465633e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.643258245058676195e-02,-2.854702371242033403e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.629035588873861878e-02,-2.834384290978013074e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.614914161129827316e-02,-2.814210822772249352e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.600893241342501841e-02,-2.794180937361784387e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.586972114155793381e-02,-2.774293612809343793e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.573150069305091270e-02,-2.754547834451197795e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.559426401581027175e-02,-2.734942594845391883e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.545800410793495200e-02,-2.715476893720346081e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.532271401735928032e-02,-2.696149737923821555e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.518838684149827048e-02,-2.676960141372248473e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.505501572689543960e-02,-2.657907125000415552e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.492259386887315728e-02,-2.638989716711517830e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.479111451118544765e-02,-2.620206951327559621e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.466057094567329980e-02,-2.601557870540109618e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.453095651192239643e-02,-2.583041522861409447e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.440226459692331276e-02,-2.564656963575825694e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.427448863473409893e-02,-2.546403254691651918e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.414762210614529100e-02,-2.528279464893251095e-03,1.495996501709425219e+00,0.000000000000000000e+00
