x,v,phi,omega
3.537911911581679281e-01,2.851726869774047213e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.681771698610491472e-01,2.902604043055645455e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.828166280686692291e-01,2.953119102759045322e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.977077616640826707e-01,3.003274626194168961e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.128487793709794129e-01,3.053073172327173679e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.282379026622930573e-01,3.102517281911011393e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.438733656694591745e-01,3.151609477615059940e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.597534150923197060e-01,3.200352264153830673e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.758763101096682435e-01,3.248748128414761238e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.922403222904325748e-01,3.296799539585097971e-01,1.495996501709425219e+00,0.000000000000000000e+00
5.088437355054887812e-01,3.344508949277874565e-01,1.495996501709425219e+00,0.000000000000000000e+00
5.256848458401034430e-01,3.391878791656996461e-01,1.495996501709425219e+00,0.000000000000000000e+00
5.427619615069986247e-01,3.438911483561432059e-01,1.495996501709425219e+00,0.000000000000000000e+00
5.600734027600361431e-01,3.485609424628521302e-01,1.495996501709425219e+00,0.000000000000000000e+00
5.776175018085155655e-01,3.531974997416407747e-01,1.495996501709425219e+00,0.000000000000000000e+00
5.953926027320826098e-01,3.578010567525597430e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.133970613962431706e-01,3.623718483719653993e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.316292453684783093e-01,3.669101078045032271e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.500875338349566546e-01,3.714160665950063112e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.687703175178396631e-01,3.758899546403087211e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.876759985931748531e-01,3.803320002009751288e-01,1.495996501709425219e+00,0.000000000000000000e+00
7.068029906093740156e-01,3.847424299129466596e-01,1.495996501709425219e+00,0.000000000000000000e+00
7.261497184062716270e-01,3.891214687991041421e-01,1.495996501709425219e+00,0.000000000000000000e+00
7.457146180347590247e-01,3.934693402807488138e-01,1.495996501709425219e+00,0.000000000000000000e+00
7.654961366769906794e-01,3.977862661890014251e-01,1.495996501709425219e+00,0.000000000000000000e+00
7.854927325671586802e-01,4.020724667761202964e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.057028749128305467e-01,4.063281607267386075e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.261250438168477039e-01,4.105535651690218613e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.467577301997788464e-01,4.147488956857459663e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.675994357229261933e-01,4.189143663252963279e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.886486727118791951e-01,4.230501896125887784e-01,1.495996501709425219e+00,0.000000000000000000e+00
