x,v,phi,omega
-4.265421540337202000e-01,-9.068731478686671565e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.310603640983877716e-01,-9.004185620619992170e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.355464162205432421e-01,-8.940099161732056876e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.400005392813700067e-01,-8.876468832291674327e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.444229605330108912e-01,-8.813291385839662484e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.488139056101624891e-01,-8.750563599023211681e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.531735985415873968e-01,-8.688282271431427284e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.575022617615440712e-01,-8.626444225432046420e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.618001161211358618e-01,-8.565046306009306554e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.660673808995786649e-01,-8.504085380602981192e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.703042738153889180e-01,-8.443558338948549402e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.745110110374916035e-01,-8.383462092918511632e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.786878071962493153e-01,-8.323793576364829638e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.828348753944129435e-01,-8.264549744962491895e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.869524272179942548e-01,-8.205727576054187844e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.910406727470610910e-01,-8.147324068496089589e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.950998205664558505e-01,-8.089336242504735486e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.991300777764375862e-01,-8.031761139504996205e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.031316500032484429e-01,-7.974595821979127419e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.071047414096047090e-01,-7.917837373316895244e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.110495547051134846e-01,-7.861482897666770275e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.149662911566148527e-01,-7.805529519788179105e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.188551505984509982e-01,-7.749974384904806390e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.227163314426613860e-01,-7.694814658558943310e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.265500306891063298e-01,-7.640047526466872685e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.303564439355177296e-01,-7.585670194375281061e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.341357653874788669e-01,-7.531679887918693583e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.378881878683324791e-01,-7.478073852477927497e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.416139028290192226e-01,-7.424849353039546240e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.453131003578451930e-01,-7.372003674056318290e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.489859691901806116e-01,-7.319534119308668263e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.526326967180892336e-01,-7.267438011767116124e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.562534689998890336e-01,-7.215712693455690607e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.598484707696451679e-01,-7.164355525316318252e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.634178854465949904e-01,-7.113363887074178327e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.669618951445065669e-01,-7.062735177104012552e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.704806806809700204e-01,-7.012466812297392382e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.739744215866229293e-01,-6.962556227930923047e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.774432961143101117e-01,-6.913000877535391275e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.808874812481784611e-01,-6.863798232765844221e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.843071527127062792e-01,-6.814945783272588486e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.877024849816693264e-01,-6.766441036573116186e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.910736512870423676e-01,-6.718281517924930279e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.944208236278375468e-01,-6.670464770199284466e-02,1.495996501709425219e+00,0.000000000000000000e+00
-5.977441727788799231e-01,-6.622988353755820956e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.010438682995206117e-01,-6.575849846318096437e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.043200785422876420e-01,-6.529046842849996202e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.075729706614755310e-01,-6.482576955433026755e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.108027106216735724e-01,-6.436437813144484099e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.140094632062332858e-01,-6.390627061936487996e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.171933920256761352e-01,-6.345142364515876654e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.203546595260406304e-01,-6.299981400224956285e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.234934269971706966e-01,-6.255141864923098594e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.266098545809447584e-01,-6.210621470869183425e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.297041012794460935e-01,-6.166417946604877548e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.327763249630755649e-01,-6.122529036838742639e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.358266823786058453e-01,-6.078952502331167601e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.388553291571789083e-01,-6.035686119780123149e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.418624198222466770e-01,-5.992727681707726156e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.448481077974546061e-01,-5.950074996347613776e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.478125454144694206e-01,-5.907725887533116921e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.507558839207513435e-01,-5.865678194586232408e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.536782734872708112e-01,-5.823929772207382671e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.565798632161703452e-01,-5.782478490365961649e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.594608011483715782e-01,-5.741322234191659213e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.623212342711286560e-01,-5.700458903866558596e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.651613085255274616e-01,-5.659886414518004727e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.679811688139317694e-01,-5.619602696112228901e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.707809590073762207e-01,-5.579605693348737433e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.735608219529064522e-01,-5.539893365555448312e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.763208994808677099e-01,-5.500463686584573103e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.790613324121407279e-01,-5.461314644709244770e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.817822605653266477e-01,-5.422444242520874785e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.844838227638806449e-01,-5.383850496827245757e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.871661568431948197e-01,-5.345531438551329173e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.898293996576305709e-01,-5.307485112630818541e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.924736870875010109e-01,-5.269709577918382792e-02,1.495996501709425219e+00,0.000000000000000000e+00
-6.950991540460038642e-01,-5.232202907082628834e-02,1.495996501709425219e+00,0.000000000000000000e+00
