x,v,phi,omega
0.000000000000000000e+00,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
1.781470177356657197e-03,7.117407568894905390e-02,1.495996501709425219e+00,0.000000000000000000e+00
7.108964689836689242e-03,1.418415764728804818e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.595724503699780250e-02,2.120061078518574726e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.830125235109177961e-02,2.816712496641297636e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.411610611854538400e-02,3.508405562687792467e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.337710291054099443e-02,4.195175567270655881e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.605971512263226042e-02,4.877057549824811433e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.121395897233303240e-01,5.554086300395242315e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.415925470115970142e-01,6.226296361412004821e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.743945793831813140e-01,6.893722029452599154e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.105218501057364022e-01,7.556397356991806369e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.499506921026547202e-01,8.214356154139066390e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.926576067455588515e-01,8.867631990363489258e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.386192626553868879e-01,9.516258196206591746e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.878124945120108302e-01,1.016026786498284373e+00,1.495996501709425219e+00,0.000000000000000000e+00
4.402143018723274626e-01,1.079969385446810648e+00,1.495996501709425219e+00,0.000000000000000000e+00
4.958018479967614689e-01,1.143456878857605830e+00,1.495996501709425219e+00,0.000000000000000000e+00
5.545524586841206194e-01,1.206492505902268864e+00,1.495996501709425219e+00,0.000000000000000000e+00
6.164436211147438227e-01,1.269079482697894168e+00,1.495996501709425219e+00,0.000000000000000000e+00
6.814529827018830366e-01,1.331221002471159931e+00,1.495996501709425219e+00,0.000000000000000000e+00
7.495583499512603609e-01,1.392920235721248901e+00,1.495996501709425219e+00,0.000000000000000000e+00
8.207376873287420826e-01,1.454180330381608766e+00,1.495996501709425219e+00,0.000000000000000000e+00
8.949691161360717739e-01,1.515004411980561683e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
